bloque,tratamiento,nitrógeno,peso
1,T4,0,1.085
1,T4,0,0.965
1,T4,0,0.775
1,T4,0,0.96
1,T4,0,0.865
1,T4,0,0.915
1,T4,0,0.795
1,T4,0,0.85
1,T4,0,0.885
1,T4,0,0.645
1,T4,0,0.91
1,T4,0,0.96
1,T4,0,0.775
1,T4,0,0.52
1,T4,0,0.95
1,T4,0,0.8
1,T4,0,0.95
1,T4,0,0.965
1,T4,0,0.915
1,T4,0,0.855
1,T4,0,1.145
1,T4,0,0.835
1,T4,0,0.886
1,T4,0,1.045
1,T4,0,1.125
1,T4,0,0.92
1,T3,62.5,0.705
1,T3,62.5,0.75
1,T3,62.5,0.85
1,T3,62.5,0.685
1,T3,62.5,0.805
1,T3,62.5,0.785
1,T3,62.5,1.5
1,T3,62.5,0.915
1,T3,62.5,1.025
1,T3,62.5,0.95
1,T3,62.5,0.65
1,T3,62.5,0.605
1,T3,62.5,0.215
1,T3,62.5,0.325
1,T3,62.5,0.795
1,T3,62.5,0.615
1,T3,62.5,0.745
1,T3,62.5,1.135
1,T3,62.5,0.925
1,T3,62.5,1.055
1,T3,62.5,0.88
1,T3,62.5,1.255
1,T3,62.5,1.85
1,T3,62.5,1.295
1,T3,62.5,1.27
1,T3,62.5,1.415
1,T1,125,1.27
1,T1,125,1.415
1,T1,125,1.055
1,T1,125,1.135
1,T1,125,1.3
1,T1,125,1.315
1,T1,125,0.95
1,T1,125,1.075
1,T1,125,0.985
1,T1,125,1.57
1,T1,125,0.88
1,T1,125,0.975
1,T1,125,0.825
1,T1,125,0.915
1,T1,125,1.135
1,T1,125,1.135
1,T1,125,1.03
1,T1,125,1.105
1,T1,125,0.715
1,T1,125,0.75
1,T1,125,1.215
1,T1,125,1.135
1,T1,125,0.81
1,T1,125,0.925
1,T1,125,0.905
1,T1,125,1.13
1,T2,125,1.15
1,T2,125,1.44
1,T2,125,1.345
1,T2,125,1.405
1,T2,125,1.9
1,T2,125,0.825
1,T2,125,1.44
1,T2,125,0.805
1,T2,125,0.76
1,T2,125,0.845
1,T2,125,0.765
1,T2,125,0.98
